Sample,   PC1,   PC2,     A,SiO2 wt%
s 178342 [8808], 18.04,  4.82, -0.02, 48.38
s 2JSK 93-2 [13590], 13.84, -2.58,  4.67, 46.46
s SIG-159 [17629], 16.45,  3.37,  0.04, 46.15
s C2 [13313], 29.46, 11.07,  0.02, 44.28
s WA88/424 [5820],  6.22, -6.61,  1.86, 47.48
s 79-BG-06 [16555],  6.85,-11.30,  0.22, 46.39
s KD6026-78.2 [17349], 17.50,  1.34,  0.16, 46.33
s 89159 [6954], 32.77, 16.49,  0.01, 43.93
s 34JTL 96-1 [13590], 17.66,  3.56,  5.81, 47.37
s MC5-3 [16702], 33.70, 18.71,  0.00, 44.39
s M658 [5696], 24.61,  5.74,  0.01, 44.25
s 93-30 [5686], 17.54,  3.51,  0.02, 47.51
s KD6083A-403.4 [17349], 14.85, -1.86,  0.97, 45.41
s 499715 [11427],  4.79,-19.21,  1.21, 44.01
s SL39B [5566],  6.70,-12.63,  0.25, 44.22
s MSA 22-1 [14411], 24.42, 13.00,  0.01, 48.30
s 145EJL 93-4 [13590], 22.78,  9.07,  0.00, 47.66
s 78-BG-05A [16555], 11.63, -5.99,  0.23, 46.87
s 9454 [5231], 28.76, 11.47,  0.02, 44.10
s 48JTL 96-1 [13590], 17.85,  4.02,  5.23, 47.75
s 3ARO 93-2/152.40 [13590],  7.99, -9.41,  4.26, 47.94
s 48JSN 94-1 [13590], 16.58, -2.81,  5.98, 46.79
s KC533C [13427],  1.98,-17.32,  0.05, 44.10
s 5019 [7302], 29.19, 10.86,  0.04, 44.44
s 9457 [5231], 30.72, 14.18,  0.01, 44.19
s 32JSN 95-1 [13590], 19.29,  5.38,  3.49, 47.44
s 13TTT 97-2 [13590], 21.15,  9.33,  2.33, 48.25
s 151JTL 95-1 [13590], 19.94,  4.91,  1.16, 46.71
s 40TOH 93-1 [13590], 17.97,  3.79,  1.74, 47.51
s 96JSK 93-1/28.00 [13590], 18.24,  4.73,  1.75, 47.69
s HOG5 [16702], 29.99, 13.46,  0.03, 44.78
s 498262 [13799], 28.00, 10.10,  0.03, 44.38
s 159640 [14137],  5.82, -5.23,  0.18, 51.81
s DY-21 [12751], 18.21,  3.15,  0.17, 46.86
s H-16 [13224], 11.13,-13.50,  0.43, 45.69
s KD5082-339.1 [17349], 18.28,  1.38,  0.14, 45.85
s 3HP 92-1 [13590], 18.75,  4.96,  0.10, 47.21
s KD6061-243 [17349], 18.25,  3.53,  0.50, 46.78
s 94100 [5231], 27.74, 10.54,  0.02, 44.33
s 14SII 94-1/114.00 [13590], 11.93, -4.50,  3.53, 47.28
s 56TOH 93-1 [13590], 18.62,  4.77,  2.92, 47.28
s 74TOH 93-1 [13590], 18.41,  4.20,  3.49, 47.28
s 95JSK 93-1/14.00 [13590], 18.77,  3.01,  3.49, 47.11
s M661 [5696], 32.62, 17.60,  0.01, 44.42
s WA91/53 [5820], 13.21, -0.44,  0.90, 48.98
s DY-2 [12751], 20.38,  5.49,  0.07, 47.22
s 176793 [14137],  3.50, -8.46,  0.15, 50.45
s GP-13 [12751], 17.29, -3.16,  0.29, 45.65
s MSA 8-1 [14411], 23.58, 12.24,  0.01, 48.22
s 114TOH 95-1 [13590], 16.77,  1.73,  2.32, 47.75
s 17VIE 64-2/114.79 [13590],  3.40, -8.48,  5.28, 50.78
s 59TOH 93-1 [13590], 18.67,  5.43,  2.32, 47.73
s 53-PTP-03 [17129], 18.00,  4.01,  0.23, 47.93
s SS015 [16702], 30.85, 14.50,  0.02, 44.66
s M654 [5696], 27.64, 10.74,  0.01, 44.57
s 51 [8920], 22.54,  6.45,  0.10, 45.78
s MKD2 [16244], 34.42, 19.27,  0.10, 44.51
s MC9-2 [14411], 23.07, 14.45,  0.01, 49.98
s DY-12 [12751], 14.56, -2.38,  0.06, 46.01
s 95JSK 93-1/0.40-7.00 [13590], 19.78,  4.24,  0.49, 47.27
s AH21 [12764],  4.21, -7.17,  0.61, 49.69
s 145EJL 93-4 [13590], 24.20, 13.70,  0.00, 49.08
s 9TOH 94-1 [13590], 16.11,  2.70,  3.50, 48.05
s HJO-86-30 [17129], 27.40, 14.38,  0.07, 46.59
s BD6 [16702], 30.36, 13.24,  0.02, 44.75
s SS016 [16702], 29.74, 13.36,  0.04, 44.96
s MC4-4 [16702], 32.81, 17.93,  0.00, 44.70
s 95-07346 [7164],  6.11,-14.52,  0.63, 44.95
s DY-20 [12751], 17.76,  2.77,  0.24, 47.00
s 178340 [8808], 14.02,  4.62,  0.17, 50.72
s PIC-113 [18733], 10.42, -9.45,  0.20, 46.02
s GC94-42 [5204], 30.17, 13.40,  0.01, 44.61
s KD6024-196.3 [17349], 16.50,  0.27,  0.07, 46.91
s PIC-114 [18733],  6.42,-12.38,  0.23, 46.70
s 8802/8 [10680], 28.94, 12.49,  0.03, 44.68
s 118TOH 95-1 [13590], 16.94,  3.42,  2.32, 48.40
s 134JTL 95-2 [13590], 19.27,  5.12,  2.32, 47.84
s 147TOH 94-1 [13590], 18.45,  5.25,  2.32, 48.04
s 167TOH 94-1 [13590], 16.28,  1.07,  1.75, 47.34
s 17VIE 64-1/73.24 [13590],  5.43,-11.96,  1.79, 48.73
s 2JSK 93-1 [13590], 19.79,  5.31,  4.65, 46.96
s 48-PTP-03 [17129], 10.48, -4.06,  0.05, 47.57
s BA-26 [13002],  5.90,-17.94,  0.69, 44.71
s 133TTT 96-2 [13590], 19.74,  7.84,  0.26, 49.12
s KD6066-624.4 [17349], 18.29,  2.82,  0.02, 47.05
s 37JSN 95-1 [13590], 18.50,  5.08,  4.07, 47.88
s 93TOH 93-1 [13590], 18.94,  6.33,  4.07, 47.95
s 2B2-PTP-03 [17129], 17.30,  4.21,  0.01, 48.21
s SIG-96 [17629], 18.34,  5.83,  0.22, 46.86
s JG03/27 [16978], 19.73,  0.12,  0.14, 45.56
s MSA 13-1 [14411], 23.11, 12.87,  0.01, 49.08
s BW460 [8498], 24.13,  8.86,  0.03, 46.17
s 462941 [5951],  9.85,-11.28,  0.43, 45.22
s LM-29 [12751], 18.15,  0.22,  0.30, 46.50
s 93-340 [18431], 27.41, 10.36,  0.01, 44.81
s KD6020-76.8 [17349], 13.90, -1.73,  0.94, 46.25
s 113-BG-05 [16555],  3.31, -7.85,  0.21, 51.37
s C18 [5579], 21.79,  4.47,  0.03, 45.24
s SA 345-8 [14411], 27.61, 17.87,  0.01, 47.72
s 28JTL 97-2 [13590],  6.46,-14.28,  1.77, 45.72
s 102TOH 93-1 [13590], 17.60,  3.97,  1.34, 47.55
s 141TOH 94-1 [13590], 17.46,  3.70,  0.00, 47.69
s 3JSK 93-1 [13590], 18.61,  4.96,  7.55, 47.62
s 69TOH 93-1 [13590], 18.62,  5.32,  4.07, 47.82
s BV15 [17165], 29.38, 12.91,  0.01, 45.03
s BD2 [16702], 26.70,  9.50,  0.05, 45.32
s SS014 [16702], 30.08, 14.17,  0.02, 45.05
s SR-7 [12751], 18.45,  3.16,  0.30, 48.16
s 6054W1-857.2 [17349], 18.30,  8.78,  0.67, 49.68
s KD6168-129.7 [17349], 20.67,  6.81,  0.04, 47.62
s 174463 [7306],  3.54, -9.01,  0.18, 49.76
s 493124 [14913], 24.75,  8.51,  0.03, 44.82
s 178335 [8808], 14.28,  1.09,  0.15, 48.74
s KD6037-401.4 [17349], 23.84, 14.01,  0.05, 49.17
s 18JSN 95-1 [13590],  7.90, -7.48,  0.02, 46.50
s 148TOH 94-1 [13590], 17.53,  4.10,  6.39, 48.12
s 58TOH 94-1 [13590], 16.59,  3.47,  2.33, 48.69
s 88TOH 93-1 [13590], 18.21,  5.53,  2.91, 48.11
s SIG-99 [17629], 12.80,  2.27,  0.22, 48.29
s SIG-10 [17629], 18.32,  3.12,  0.05, 46.42
s BD12 [16702], 31.01, 15.29,  0.02, 45.06
s MC6-4 [16702], 31.16, 16.24,  0.00, 45.06
s 165378 [8808], 16.49,  6.17,  0.04, 49.89
s 145TOH 94-1 [13590], 18.76,  6.30,  2.32, 48.02
s 151TOH 94-1 [13590], 17.50,  4.69,  1.16, 48.38
s 31TOH 94-1 [13590], 15.87,  3.55,  2.33, 49.03
s 46TOH 93-1 [13590], 19.15,  5.69,  3.49, 47.56
s 53JSK 93-1 [13590], 15.40,  1.61,  2.33, 48.15
s 23SMS 62-1/54.50 [13590], 15.75,  0.40,  0.01, 47.73
s S7 [12642], 17.79,  3.55,  0.15, 47.68
s SS012 [16702], 29.39, 13.58,  0.04, 45.22
s M712 [5316], 30.36, 15.58,  0.01, 45.01
s PIC-112 [18733],  5.60,-11.94,  0.03, 46.99
s DY-6 [12751], 17.97,  4.36,  0.07, 47.55
s A6 [5316], 20.97,  3.91,  0.01, 45.22
s KD6062A-804.5 [17349], 19.04,  4.48,  0.02, 47.49
s 164-BG-04 [16555], -0.23,-12.47,  0.88, 50.11
s 145-BG-04 [16555],  3.10, -8.18,  0.15, 50.91
s WA88/199 [5820],  3.14, -7.26,  2.73, 48.08
s 8802/10 [10680], 25.73,  9.36,  0.05, 45.24
s 105TOH 95-1 [13590],  4.17, -6.29,  5.81, 53.23
s 2JSK 93-2 [13590], 17.95,  4.65,  4.65, 48.13
s 52VIE 67-3/28.05 [13590], 15.09,  0.25,  0.21, 48.78
s 58TOH 93-1 [13590], 18.74,  5.68,  0.00, 48.05
s 65TOH 94-1 [13590],  8.34, -6.89,  4.70, 48.28
s 86TOH 93-1 [13590], 17.68,  4.61,  2.32, 48.15
s 2G-PTP-03 [17129], 15.97,  1.98,  0.03, 48.16
s 2H-PTP-03 [17129], 15.66,  1.62,  0.06, 48.27
s TIPASJÄRVI1 [17129], 19.25,  6.21,  0.10, 48.07
s KBA12-6 [17165], 31.19, 16.79,  0.01, 45.20
s SS017 [16702], 29.23, 13.67,  0.04, 45.54
s WP102 [16702], 34.66, 21.70,  0.00, 45.26
s 1HP 92-1 [13590], 17.86,  4.12,  0.15, 47.91
s 462935 [5951],  9.44,-11.97,  0.29, 45.66
s DY-17 [12751], 15.39,  0.37,  0.03, 47.14
s MC5-7 [14411], 21.77, 12.07,  0.01, 49.32
s M713 [5316], 32.13, 18.92,  0.00, 45.12
s LM-11 [12751], 16.15,  0.76,  0.35, 47.59
s 89155 [6954], 24.84,  8.17,  0.01, 45.18
s 9479 [5231], 22.28,  4.96,  0.02, 45.32
s 97TOH 94-1 [13590], 17.27,  4.52,  4.65, 48.58
s 28SMS 62-1/170.05 [13590], 16.60,  0.54,  1.75, 47.71
s 7F-PTP-03 [17129], 15.42,  1.92,  0.06, 48.64
s BW478 [8498], 21.28,  6.75,  0.04, 46.86
s 462938 [5951],  9.63,-11.00,  0.36, 45.69
s 93 -304 [18431], 18.45,  0.96,  0.04, 45.35
s MP-5 [18431], 25.02,  8.74,  0.02, 45.23
s KD6067-754.9 [17349], 17.10,  2.16,  0.22, 47.14
s VS15-019-24.5 [17349], 27.14, 19.25,  0.00, 49.84
s PIC-204 [18733],  7.40,-10.49,  0.08, 46.58
s KD5051-320.2 [17349], 19.91,  5.52,  0.22, 47.00
s 94123 [5231], 20.56,  3.02,  0.02, 45.43
s 8804/3 [10680], 22.25,  5.04,  0.06, 45.37
s 8804/2 [10680], 26.56, 10.77,  0.03, 45.37
s 133TOH 94-1 [13590], 14.73,  0.85,  1.75, 48.45
s 27TOH 94-1 [13590], 15.08,  2.11,  3.49, 48.93
s 36JSK 94-2/30.50 [13590], 13.79, -0.15,  2.33, 48.34
s 52VIE 67-2/25.15 [13590], 17.68,  2.30,  4.81, 48.45
s 98TOH 94-1 [13590], 17.02,  4.18,  4.07, 48.66
s 7B-PTP-03 [17129], 15.43,  1.62,  0.04, 48.41
s WP109 [16702], 30.98, 16.68,  0.00, 45.47
s 498246 [13799], 24.82,  9.06,  0.08, 45.39
s M656 [5696] / s M-656 [5491], 19.31,  0.90,  0.02, 45.41
s M665 [5696] / s M-665 [5491], 22.44,  5.55,  0.02, 45.57
s 95-KYT-41 [5524],  1.52,-15.11,  0.17, 47.51
s KD6084-691.7 [17349], 19.23,  5.88,  0.01, 48.20
s 89151 [6954], 23.70,  7.23,  0.02, 45.50
s 123TOH 95-2 [13590], 15.71,  1.49,  4.65, 47.88
s 142TOH 94-1 [13590], 16.93,  4.57,  2.90, 49.40
s 163JSK 93-1 [13590],  2.75, -9.89,  5.25, 49.11
s 39JSK 93-1 [13590], 14.62,  0.43,  3.49, 48.22
s 72TOH 93-1 [13590], 18.32,  6.08,  4.07, 48.43
s BV16 [17165], 27.83, 11.86,  0.02, 45.72
s KBA12-8 [17165], 31.79, 18.43,  0.01, 45.53
s SS019 [16702], 28.66, 13.41,  0.04, 45.80
s SS011 [16702], 27.83, 12.31,  0.04, 45.71
s P3 [6808], 28.98, 13.93,  0.03, 45.04
s AT1 [12764], 10.36, -7.80,  0.12, 48.97
s LM-35 [12751], 16.01, -0.51,  1.07, 47.71
s 465415 [7552], 10.61, -9.09,  0.31, 45.75
s LM-43 [12751], 18.31,  2.67,  0.14, 47.46
s 93-339 [18431], 22.26,  5.15,  0.02, 45.56
s 174462 [7306],  2.49, -8.48,  0.18, 50.43
s BW135 [8498], 19.92,  5.99,  0.03, 47.62
s 95-KYT-22 [5524],  5.31, -8.95,  0.05, 48.03
s DY-28 [12751], 14.44, -1.10,  0.16, 46.84
s 236JTL 96-1 [13590], 17.86,  6.07,  2.33, 48.89
s 28JTL 97-1 [13590], 16.84,  4.39,  5.23, 49.14
s 305JEV 95-1 [13590], 14.54,  0.05,  2.92, 47.88
s 3ARO 93-2/135.00 [13590], 16.15,  3.46,  0.59, 48.99
s 82JSK 93-1 [13590], -3.66,-12.66,  6.67, 48.03
s HOG4 [16702], 24.57,  8.36,  0.05, 46.03
s P2 [6808], 28.65, 13.63,  0.02, 45.13
s 93-343 [18431], 25.63,  9.80,  0.03, 45.53
s 07-BG-07 [16555],  2.58, -6.73,  0.19, 52.62
s MC 5-2 [16344], 34.29, 20.74,  0.01, 45.00
s KD6083A-404.8 [17349], 20.12,  4.84,  0.00, 47.91
s A4 [16244], 28.09, 13.03,  0.02, 45.46
s 165376 [8808], 14.22,  3.06,  0.09, 50.31
s 82-BG-06 [16555],  5.72,-12.91,  0.14, 47.20
s 511118 [17722], 18.82,  1.36,  0.36, 46.72
s 178338 [8808], 12.66,  3.68, -0.02, 51.56
s 9496 [5231], 20.41,  3.13,  0.02, 45.75
s 8802/10B [10680], 24.81,  8.86,  0.05, 45.65
s 15SII 94-2/76.75 [13590],  9.15, -6.22,  4.77, 47.70
s 183TOH 93-1 [13590], 18.69,  7.11,  4.66, 49.68
s 4SII 93-1/60.4 [13590],  9.08, -5.14,  2.93, 47.91
s 50TOH 95-1 [13590], 17.04,  4.03,  1.16, 48.27
s 8TOH 94-1 [13590], 14.01,  0.45,  2.92, 48.45
s 70-PTP-03 [17129], 18.25,  6.79,  0.04, 49.28
s SIG-12 [17629], 18.31,  3.06,  0.05, 46.87
s BD1 [16702], 30.00, 15.19,  0.04, 45.71
s M662 [5696] / s M-662 [5491], 23.12,  7.28,  0.03, 45.82
s KD6071A-672.6 [17349], 14.06, -2.37,  0.05, 46.86
s KD6043-180 [17349], 14.54, -0.47,  0.52, 47.16
s SL87-03 [7218],  7.76,-10.12,  0.35, 45.82
s M676 [5316], 25.33,  9.82,  0.03, 45.62
s HS423 [8684],  8.55, -8.40,  0.18, 48.35
s 465436 [7552],  6.94,-11.67,  0.08, 45.88
s BW483 [8498], 19.70,  5.59,  0.04, 47.37
s CR110 [8519],  6.90,-10.35,  0.51, 45.79
s 91155 [5231], 21.79,  4.87,  0.02, 45.83
s 17VIE 64-2/192.29 [13590],  3.26, -9.58,  3.56, 50.45
s 30TOH 93-1 [13590], 15.09,  1.66,  4.65, 48.60
s 2I-PTP-03 [17129], 12.71, -1.45,  0.05, 48.28
s SIG-101 [17629], 14.63,  3.33,  0.17, 48.09
s SIG-30 [17629], 16.87,  2.94,  0.08, 47.10
s BD23 [16702], 31.40, 17.69,  0.03, 46.10
s M667 [5696] / s M-667 [5491], 23.58,  8.12,  0.02, 45.96
s LM-27 [12751], 17.84,  1.89,  0.26, 47.86
s LM-26 [12751], 15.40,  1.49,  1.66, 47.94
s MC 4-4 [16344], 31.85, 17.55,  0.01, 45.20
s 92-44 [18431], 21.58,  2.35,  0.16, 46.16
s 8802/9 [10680], 21.30,  4.86,  0.05, 45.91
s 2SPL 97-1 [13590], 18.14,  6.86,  5.81, 49.01
s 66JSN 95-1 [13590], 18.53,  8.44,  2.90, 49.46
s 126JSK 93-1 [13590], 14.05, -1.73,  0.10, 48.31
s 179TOH 93-1 [13590], 16.83,  3.59,  2.33, 48.35
s 182TTT 96-1 [13590], 12.40, -1.59,  4.66, 48.25
s 2JSK 93-2 [13590], 18.36,  4.99,  3.33, 48.18
s 34TOH 94-1 [13590], 15.26,  3.44,  2.90, 49.74
s 63SMS 63-2/149.40 [13590], 15.32,  0.36,  0.58, 48.24
s 62B-PTP-03 [17129], 22.50, 11.63,  0.02, 49.13
s SIG-51 [17629], 21.09, 10.22,  0.11, 47.72
s BV10 [17165], 26.95, 11.60,  0.03, 46.17
s 5031 [7302], 26.01,  9.44,  0.07, 46.03
s SS013 [16702], 27.86, 13.01,  0.03, 46.05
s MC4-3 [16702], 30.13, 16.87,  0.00, 46.12
s MC4-3 [16702], 30.18, 16.96,  0.00, 46.12
s M716 [5263], 23.03,  7.47,  0.03, 45.94
s 178333 [8808], 15.82,  7.97, -0.00, 51.47
s 165366 [8808],  2.59, -4.13,  0.18, 51.61
s G2 [7307], 18.54,  2.18,  0.08, 45.86
s 159-BG-05 [16555], -0.12, -8.36,  0.73, 52.51
s A3 [16244], 17.16,  0.36,  0.05, 46.14
s DY-29 [12751], 13.97, -0.95,  0.21, 47.32
s 89152 [6954], 22.53,  6.55,  0.02, 45.97
s 94104 [5231], 21.84,  5.53,  0.02, 45.94
s 52TOH 93-1 [13590], 18.57,  6.40,  3.48, 48.45
s 14SMS 70-2/41.40 [13590], 15.59,  1.49,  3.49, 48.60
s 65TOH 96-1 [13590], 11.57, -3.03,  1.17, 48.45
s 12-PTP-03 [17129], 11.82, -2.63,  0.12, 48.11
s SA501-1 [17165], 31.82, 19.46,  0.01, 45.98
s BV03 [17165], 27.55, 12.68,  0.03, 46.18
s SS018 [16702], 27.38, 12.41,  0.04, 46.25
s P7 [6808], 23.76,  7.47,  0.04, 45.50
s M663 [5696] / s M-663 [5491], 22.06,  6.41,  0.03, 46.09
s MC 6-4 [16344], 30.43, 15.84,  0.01, 45.39
s DY-31 [12751], 14.11, -0.42,  0.14, 47.49
s BW130 [8498], 20.94,  6.68,  0.03, 47.17
s 462942 [5951],  8.61,-11.68,  0.24, 46.51
s DY-35B [12751], 14.76,  1.02,  0.04, 47.94
s 8804/3E [10680], 23.60,  7.56,  0.05, 46.11
s 240JSN 95-2 [13590], 15.69,  2.00,  3.49, 48.57
s 186TOH 93-1 [13590], 10.04, -4.75,  5.28, 48.40
s SIG-98 [17629], 11.92,  2.94,  0.19, 49.21
s SIG-28 [17629], 16.17,  3.25,  0.06, 47.98
s C1 [13313], 25.77, 10.18,  0.02, 46.29
s SA719-1 [16702], 29.54, 16.08,  0.01, 46.16
s M666 [5696] / s M-666 [5491], 21.67,  5.93,  0.03, 46.17
s 98-YK-4 [8924],  4.52, -9.78,  0.20, 47.88
s DY-22 [12751], 17.75,  5.54,  0.15, 48.69
s 462914 [7552],  5.85,-13.79,  0.47, 46.47
s 6054W1-789.3 [17349], 14.44,  1.30,  1.24, 47.03
s MP-1 [18431], 23.31,  7.90,  0.03, 46.10
s S10 [12642], 18.01,  5.49,  0.04, 48.65
s S67 [12642], 17.03,  4.85,  0.09, 48.95
s DY-37 [12751], 12.52, -3.96,  0.07, 47.10
s 94114 [5231], 21.96,  6.18,  0.02, 46.20
s 285JSN 95-1 [13590], 16.65,  4.03,  1.16, 48.74
s 52JSN 95-1 [13590], 11.40, -2.27,  2.91, 48.57
s 17VIE 64-2/125.50 [13590],  1.09, -8.52,  1.23, 52.53
s 1JSK 93-3 [13590], 16.71,  3.92,  4.65, 48.80
s 54TOH 94-1 [13590],  6.41, -7.99,  1.78, 48.22
s 66TOH 96-1 [13590],  6.10, -8.98,  0.61, 47.85
s 52-PTP-03 [17129],  9.10, -7.37,  0.45, 47.88
s 30-PTP-03 [17129], 10.90, -1.95,  0.01, 48.93
s SIG-29 [17629], 16.11,  3.29,  0.06, 48.03
s BV01 [17165], 26.07, 10.85,  0.04, 46.45
s BV02 [17165], 23.68,  7.57,  0.08, 46.52
s SA501-10 [17165], 30.84, 18.53,  0.01, 46.21
s SA 224-11 [14411], 19.98,  7.08,  0.03, 49.29
s 184TTT 96-1 [13590], 19.36,  7.34,  0.08, 49.73
s DY-18 [12751], 14.51, -0.21,  0.04, 47.71
s BW272 [8498], 19.59,  5.63,  0.04, 47.53
s KC-519A [13000],  4.42,-13.55,  0.16, 46.51
s MSA 5-5 [14411], 21.17,  9.10,  0.01, 49.26
s 131-BG-06 [16555],  5.75,-10.12,  0.19, 47.47
s A4 [5316], 20.59,  5.46,  0.01, 46.33
s 462920 [5951],  8.96, -8.69,  0.23, 47.57
s DY-32 [12751], 14.55,  0.22,  0.35, 47.63
s PIC-55 [18733], 10.46, -1.99,  0.01, 49.41
s 91156 [5231], 17.36,  0.84,  0.03, 46.34
s 5-M [9080],  8.72, -5.35,  0.10, 48.54
s 8802/9B [10680], 22.31,  6.47,  0.07, 46.28
s 17VIE 64-2/189.20 [13590],  4.05, -9.63,  3.49, 50.15
s 21TTT 96-1 [13590], 20.63,  9.40,  0.15, 49.31
s 48JSN 94-1 [13590], 16.32, -1.96,  0.59, 47.97
s SA719-4 [16702], 31.28, 19.09,  0.01, 46.38
s 499740 [11427],  6.71,-14.78,  0.15, 46.26
s 38TOH 93-1 [13590], 18.21,  8.79,  0.08, 50.12
s 328286 [6045], 22.00,  6.11,  0.03, 46.14
s DY-7 [12751], 17.88,  5.93,  0.15, 48.84
s 165381 [8808], 16.24,  6.17,  0.00, 50.10
s 99-4-32A [8685],  5.51, -7.75,  0.07, 47.89
s 165385 [8808], 14.97,  5.64,  0.06, 50.84
s 176771 [14137],  2.37, -6.84, -0.04, 51.64
s 226JSN 95-1 [13590],  3.36,-11.01,  3.52, 48.32
s 229JSN 95-1 [13590], 16.14,  3.52,  1.16, 49.11
s 46JSN 95-1 [13590], 12.17, -1.10,  6.40, 48.74
s 139TOH 94-1 [13590], 15.32,  2.66,  0.00, 49.26
s 35TOH 94-1 [13590], 10.89, -1.97,  3.49, 49.19
s 71TOH 93-1 [13590], 17.23,  5.69,  2.90, 49.37
s 82TOH 94-1 [13590], 14.75,  1.88,  2.33, 49.34
s 93JSK 93-1 [13590], 15.65,  3.99,  2.90, 49.48
s 69IJY 94-2 [13590],  5.60,-10.46,  2.93, 47.61
s 2A-PTP-03 [17129], 15.87,  4.06,  0.03, 49.54
s BD18 [16702], 30.44, 17.35,  0.04, 46.40
s 93-22 [5686],  2.53, -8.66,  0.72, 49.95
s 165388 [8808], 16.86,  7.88,  0.07, 51.15
s AB94-155B [5204], 21.68,  6.56,  0.03, 46.44
s DY-23 [12751], 18.53,  7.05,  0.17, 49.18
s 132-BG-05 [16555],  7.23,-10.15,  0.43, 47.31
s T10 [5316], 24.67,  8.81,  0.00, 46.47
s 2-6 [13706],  0.31, -8.25,  0.23, 52.95
s 178339 [8808], 13.25,  3.67,  0.13, 51.15
s 176763 [14137],  2.26, -8.20, -0.03, 51.48
s 128JTL 96-2 [13590], 17.30,  5.66,  3.49, 49.32
s 163TTT 97-1 [13590], 17.07,  4.30,  6.39, 48.84
s 26TOH 93-1 [13590], 11.95, -1.36,  3.50, 48.71
s KUHMO [17129],  7.75, -5.26,  0.05, 48.40
s SIG-23 [17629], 16.53,  3.81,  0.08, 48.21
s SIG-15 [17629], 17.88,  4.24,  0.03, 47.51
s B96-7 [5952], 24.16,  8.28,  0.02, 46.53
s C5 [13313], 21.93,  5.63,  0.03, 46.85
s BD22 [16702], 31.70, 19.83,  0.02, 46.62
s 508071 [15563],  7.10, -9.30,  0.15, 46.58
s M668 [5696] / s M-668 [5491], 18.13,  2.54,  0.02, 46.88
s M664 [5316], 22.52,  7.64,  0.05, 46.41
s DY-30 [12751], 14.07, -0.26,  0.03, 47.80
s KD6026-82.7 [17349], 21.87, 11.75,  0.00, 49.47
s 165369 [8808], 14.00,  2.60,  0.08, 50.30
s 179790 [14137],  2.72, -7.63,  0.66, 52.19
s SA 700-1 [14411], 20.09, 10.95,  0.04, 51.11
s 89153 [6954], 21.12,  5.95,  0.02, 46.68
s 227JSN 95-1 [13590], 16.65,  5.17,  5.23, 49.62
s 251JSN 95-1 [13590], 11.02, -3.16,  0.60, 48.33
s 16SII 94-3/77.30 [13590], 15.09,  2.75,  1.16, 49.72
s 17TOH 93-1 [13590], 17.56,  6.94,  0.58, 49.57
s 52VIE 67-1/81.66 [13590], 13.96,  4.69,  2.91, 51.35
s SIG-16 [17629], 16.61,  3.72,  0.04, 48.13
s JEH-2007–08 [15680],  7.73, -9.03,  0.29, 47.64
s SC95-102 [5575],  3.35,-13.06,  0.60, 47.37
s 93-344 [18431], 22.68,  7.98,  0.01, 46.49
s DY-34 [12751], 13.82, -0.29,  0.19, 47.82
s 7-M [9080],  6.96, -8.21,  0.10, 47.99
s 8802/4B [10680], 18.90,  3.22,  0.06, 46.71
s 315JEV 95-1 [13590],  7.88, -6.82,  4.11, 48.48
s 56-PTP-03 [17129],  7.12, -6.66,  0.07, 49.06
s SIG-11 [17629], 15.29,  2.69,  0.05, 48.43
s C3 [13313], 24.35,  9.58,  0.02, 46.88
s P1 [6808], 22.58,  7.21,  0.04, 46.27
s M675 [5263], 21.34,  6.61,  0.04, 46.62
s WL95-5 [13001],  7.55, -8.49,  0.34, 47.20
s BX001 [8498], 18.25,  4.72,  0.03, 48.05
s PL-13B [8681],  5.36,-12.72,  0.66, 46.82
s SA 519-3 [14411], 23.50, 14.92,  0.01, 49.07
s LM-33 [12751], 10.49, -7.02,  1.47, 47.70
s HS540 [8684],  8.46, -5.68,  0.09, 48.41
s SA 355-6 [16344], 30.04, 16.45,  0.01, 46.15
s 98-YK-16 [8924],  3.36, -8.60,  0.16, 50.43
s PIC-206 [18733],  8.51, -9.30,  0.27, 47.60
s LM-42 [12751], 17.57,  4.11,  0.23, 48.90
s 65JTL 95-1 [13590],  4.94, -8.83,  2.34, 48.89
s SIG-22 [17629], 16.71,  3.55,  0.06, 48.17
s B94-4 [5952], 25.52, 12.29,  0.03, 47.31
s C6 [13313], 21.77,  5.94,  0.03, 47.11
s 28-BG-04 [16555],  5.11,-11.23,  0.55, 47.56
s 11-BG-07 [16555],  1.41, -7.16,  0.21, 52.63
s 508219 [17722],  4.37,-11.64,  0.19, 47.42
s XHG04 [16160],  4.31, -9.82,  0.09, 48.42
s 23 [8920],  5.72, -7.21,  0.71, 47.67
s HS424 [8684],  4.40, -6.87,  0.11, 49.52
s H-68 [13224],  8.52, -8.47,  0.13, 47.25
s MP-6 [18431], 18.46,  3.17,  0.05, 46.85
s SA 700-4 [16344], 29.65, 16.36,  0.01, 46.23
s GS-17 [8924],  2.41, -8.95,  0.18, 50.64
s SI020 [17715],  4.87, -6.93,  0.28, 49.85
s 462937 [5951],  8.00,-10.80,  0.20, 47.31
s 94111 [5231], 20.81,  5.81,  0.02, 46.80
s 8802/5 [10680], 21.85,  7.42,  0.06, 46.82
s 194JSN 95-1 [13590], 15.06,  7.20,  2.32, 50.55
s 130TOH 94-1 [13590], 10.04, -3.80,  4.09, 48.95
s 17VIE 64-1/62.40 [13590],  2.71, -9.83,  5.26, 51.11
s 75TOH 94-1 [13590],  8.56, -3.69,  0.59, 49.47
